CEMSUnit,Plant Code,Boiler ID,Generator ID,Unit Code,Unit Code Method,CCUnit
10029_5,10029,5,GEN5,GEN5,3,10029_GEN5
10030_2,10030,2,,CC1,5,10030_CC1
10034_S-100,10034,S-100,,CC1,5,10034_CC1
1004_CTG1,1004,CTG1,,1,5,1004_1
1004_CTG2,1004,CTG2,,1,5,1004_1
1007_CT5,1007,CT5,1,CC1,2,1007_CC1
1007_CT4,1007,CT4,1,CC1,2,1007_CC1
1007_CT3,1007,CT3,1,CC1,2,1007_CC1
10099_001001,10099,001001,,CC1,5,10099_CC1
1010_1,1010,1,,1,4,1010_1
10156_GEN1,10156,GEN1,GEN1,,6,10156_
10169_D1,10169,D1,,CC1,5,10169_CC1
1016_GT-7,1016,GT-7,,CC1,5,1016_CC1
1016_GT-1,1016,GT-1,,CC1,5,1016_CC1
1016_GT-2,1016,GT-2,,CC1,5,1016_CC1
1016_GT-3,1016,GT-3,,CC1,5,1016_CC1
1016_GT-6,1016,GT-6,,CC1,5,1016_CC1
1016_GT-8,1016,GT-8,,CC1,5,1016_CC1
10190_1,10190,1,,CCCC,5,10190_CCCC
10298_CG802,10298,CG802,,CG802,4,10298_CG802
10298_CG803,10298,CG803,,CG803,4,10298_CG803
10298_CG804,10298,CG804,,CG804,4,10298_CG804
10307_2,10307,2,,CC1,5,10307_CC1
10307_1,10307,1,,CC1,5,10307_CC1
10308_1001,10308,1001,,CC1,5,10308_CC1
10308_1002,10308,1002,,CC1,5,10308_CC1
10350_1,10350,1,,CC1,5,10350_CC1
10405_1,10405,1,,CC1,5,10405_CC1
10567_GT1,10567,GT1,,CC1,5,10567_CC1
10617_1,10617,1,,CC01,5,10617_CC01
10619_00001,10619,00001,,00001,1,10619_00001
10620_1,10620,1,,CC1,5,10620_CC1
10621_1,10621,1,,CC01,5,10621_CC01
10633_3,10633,3,,CC1,5,10633_CC1
10633_2,10633,2,,CC1,5,10633_CC1
10633_1,10633,1,,CC1,5,10633_CC1
10682_GT5,10682,GT5,GT3,BCP,6,10682_BCP
10682_GT4,10682,GT4,GT1,CPP,6,10682_CPP
10725_CTG101,10725,CTG101,GEN1,F801,6,10725_F801
10725_CTG201,10725,CTG201,GEN3,F802,6,10725_F802
10725_CTG301,10725,CTG301,GEN4,F802,6,10725_F802
10726_1,10726,1,,G321,5,10726_G321
10726_2,10726,2,,G321,5,10726_G321
10741_G104,10741,G104,,5,5,10741_5
10741_G102,10741,G102,,5,5,10741_5
10741_G103,10741,G103,,5,5,10741_5
10745_012,10745,012,,1,5,10745_1
10745_003,10745,003,,1,5,10745_1
10745_005,10745,005,,1,5,10745_1
10745_006,10745,006,,1,5,10745_1
10745_007,10745,007,,1,5,10745_1
10745_008,10745,008,,1,5,10745_1
10745_009,10745,009,,1,5,10745_1
10745_010,10745,010,,1,5,10745_1
10745_014,10745,014,,1,5,10745_1
10745_013,10745,013,,1,5,10745_1
10745_011,10745,011,,1,5,10745_1
10745_004,10745,004,,1,5,10745_1
10751_002001,10751,002001,,CC1,5,10751_CC1
10761_1,10761,1,GEN1,CCB1,6,10761_CCB1
10761_2,10761,2,GEN3,CCB2,6,10761_CCB2
10761_3,10761,3,GEN4,CCB2,6,10761_CCB2
10761_4,10761,4,GEN5,CCB3,6,10761_CCB3
10761_5,10761,5,GEN6,CCB3,6,10761_CCB3
10803_2,10803,2,,,5,10803_
10803_1,10803,1,,,5,10803_
10805_002001,10805,002001,,G741,5,10805_G741
117_CC4,117,CC4,C4-2,CC1,2,117_CC1
117_CC5B,117,CC5B,C5-3,CC2,2,117_CC2
117_CC5A,117,CC5A,C5-3,CC2,2,117_CC2
1363_7A,1363,7A,7S,7ABS,2,1363_7ABS
1363_7B,1363,7B,7S,7ABS,2,1363_7ABS
1391_5A,1391,5A,2A,2A,3,1391_2A
1391_4A,1391,4A,2A,2A,3,1391_2A
1396_6-1,1396,6-1,6,CC6,2,1396_CC6
1396_7-2,1396,7-2,7,CC7,2,1396_CC7
1396_7-1,1396,7-1,7,CC7,2,1396_CC7
1403_6B,1403,6B,,PB01,5,1403_PB01
1403_6A,1403,6A,,PB01,5,1403_PB01
1404_7AB,1404,7AB,7C,PB01,2,1404_PB01
1404_7C,1404,7C,,PB01,5,1404_PB01
1416_CTG-6A,1416,CTG-6A,,CTG-6A,4,1416_CTG-6A
1416_CTG-6B,1416,CTG-6B,,CTG-6B,4,1416_CTG-6B
147_K-7,147,K-7,KY7A,KYS7,2,147_KYS7
1588_81,1588,81,ST85,G941,2,1588_G941
1588_82,1588,82,ST85,G941,2,1588_G941
1588_94,1588,94,ST96,G942,2,1588_G942
1588_93,1588,93,ST96,G942,2,1588_G942
1595_4,1595,4,1,CC1,2,1595_CC1
1660_3,1660,3,,POT2,5,1660_POT2
1904_5,1904,5,2,BDS0,2,1904_BDS0
1912_8,1912,8,,HBR0,5,1912_HBR0
1912_7,1912,7,,HBR0,5,1912_HBR0
1927_10,1927,10,,RIV0,5,1927_RIV0
1927_9,1927,9,,RIV0,5,1927_RIV0
201_2,201,2,1,FIT1,2,201_FIT1
2070_6,2070,6,GTG1,CC1,6,2070_CC1
2070_7,2070,7,GTG2,CC2,6,2070_CC2
2079_9,2079,9,9,CC1,2,2079_CC1
2336_6,2336,6,4,G240,6,2336_G240
2336_9,2336,9,10,PB1,2,2336_PB1
2336_8,2336,8,10,PB1,2,2336_PB1
2393_04,2393,04,,CC1,5,2393_CC1
2393_05,2393,05,,CC1,5,2393_CC1
2393_06,2393,06,,CC1,5,2393_CC1
2393_6,2393,06,,CC1,5,2393_CC1
