unit_id,group_type,cluster,heat_rate_base,heat_rate_incr1,load_point1,heat_rate_incr2,load_point2,heat_rate_incr3,load_point3,latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type
1507_1,Boiler (Oil),0,52.260522142760976,10.396452226920658,52.96500015258789,,,,,43.75,-70.15689849853516,ME,1.0,NPCC,Dry bottom wall-fired boiler,Residual Oil
1507_3,Boiler (Oil),0,103.93350360336628,8.68695747941135,97.2723749870112,9.421260133047282,120.375,,,43.75,-70.15689849853516,ME,1.0,NPCC,Tangentially-fired,Residual Oil
1507_4,Boiler (Oil),0,442.66845382235033,7.764083411580978,181.12437592876645,9.444054339524175,503.85093044993073,13.054595827422569,605.7269897460938,43.75,-70.15689849853516,ME,1.0,NPCC,Dry bottom wall-fired boiler,Residual Oil
1554_1,Boiler (Oil),0,125.06721985915381,10.097514359072015,127.11599731445312,,,,,39.1781,-76.52680206298828,MD,3.0,MAAC,Dry bottom wall-fired boiler,Other Oil
1554_4,Boiler (Oil),0,524.4290146458654,9.51914346388925,398.6820068359375,,,,,39.1781,-76.52680206298828,MD,3.0,MAAC,Dry bottom wall-fired boiler,Other Oil
1599_2,Boiler (Oil),0,436.33095866583307,8.888974816654537,266.11293739935,9.2393705712705,572.02197265625,,,41.7694,-70.50969696044922,MA,1.0,NPCC,Dry bottom wall-fired boiler,Residual Oil
1619_4,Boiler (Oil),0,343.6418364941674,11.439625166969938,395.7929992675781,,,,,41.7125,-71.19139862060547,MA,1.0,NPCC,Dry bottom wall-fired boiler,Residual Oil
1642_3,Boiler (Oil),0,111.79803849448679,11.57179501367974,97.26300048828124,,,,,42.0956,-72.5958023071289,MA,1.0,NPCC,Tangentially-fired,Residual Oil
2516_1,Boiler (Oil),0,176.46229915031398,9.542058638762503,235.983061983788,9.714206104642262,397.718994140625,,,40.9231,-73.3416976928711,NY,2.0,,Tangentially-fired,Residual Oil
2516_2,Boiler (Oil),0,1106.4602784347194,0.6327550814743235,106.59160013141693,9.401737405549383,191.53793443738303,10.081267152976444,398.6820068359375,40.9231,-73.3416976928711,NY,2.0,,Tangentially-fired,Residual Oil
2516_3,Boiler (Oil),0,156.8712428306079,9.47146329246206,241.73478263710967,9.849873036724311,367.8659973144531,,,40.9231,-73.3416976928711,NY,2.0,,Tangentially-fired,Residual Oil
2516_4,Boiler (Oil),0,184.26493244301602,9.648976079205832,362.0880126953125,,,,,40.9231,-73.3416976928711,NY,2.0,,Tangentially-fired,Residual Oil
2517_3,Boiler (Oil),0,209.82168674515748,7.524811827669443,49.034873687105176,10.082032049509234,178.06567473704368,20.87508855694273,198.3780059814453,40.9503,-73.07859802246094,NY,2.0,,Tangentially-fired,Residual Oil
2517_4,Boiler (Oil),0,145.56798818867492,9.419239946865208,180.20260852989742,20.614997039820693,200.3040008544922,,,40.9503,-73.07859802246094,NY,2.0,,Tangentially-fired,Residual Oil
3148_3,Boiler (Oil),0,558.8692427632375,9.432708429717259,439.60782822837984,9.571117564424382,686.6190185546875,,,40.796,-75.10700225830078,PA,3.0,MAAC,Tangentially-fired,Residual Oil
3148_4,Boiler (Oil),0,930.5453424662196,7.296988235768142,283.2471071348823,10.460632030977823,713.5830078125,,,40.796,-75.10700225830078,PA,3.0,MAAC,Tangentially-fired,Residual Oil
3161_3,Boiler (Oil),0,375.612461845877,8.884315680290527,132.92263186882423,10.300653042931618,202.66131160749043,11.174139315423545,262.89898681640625,39.858,-75.322998046875,PA,3.0,,Tangentially-fired,Diesel Oil
3161_4,Boiler (Oil),0,417.7421432793159,8.249358168002082,151.07480298890508,11.488739530072634,193.56300354003903,,,39.858,-75.322998046875,PA,3.0,,Tangentially-fired,Diesel Oil
3804_5,Boiler (Oil),0,722.186181479618,8.63533733576565,784.844970703125,,,,,38.5367,-77.28060150146484,VA,3.0,SERC,Tangentially-fired,Residual Oil
546_5,Boiler (Oil),0,-56.684761891456006,12.336390093933801,84.74400329589844,,,,,41.4281,-72.10189819335938,CT,1.0,NPCC,Tangentially-fired,Residual Oil
546_6,Boiler (Oil),0,58.24255834183362,13.496294045679894,286.5105111094178,14.837664003196206,401.5710144042969,,,41.4281,-72.10189819335938,CT,1.0,NPCC,Tangentially-fired,Residual Oil
593_5,Boiler (Oil),0,385.63197061723406,7.761241696621218,78.61556238382781,9.01408012188729,272.18007831600863,13.975385298696933,310.08599853515625,39.7372,-75.50330352783203,DE,3.0,MAAC,Dry bottom wall-fired boiler,Residual Oil
6156_NHB1,Boiler (Oil),0,706.9373303797013,7.482973828141415,199.9049599683292,11.387027686761945,453.572998046875,,,41.2836,-72.9041976928711,CT,1.0,,Tangentially-fired,Residual Oil
676_2,Boiler (Oil),0,123.53872440600365,4.685484927901504,103.04100036621094,,,,,28.0809,-81.92559814453125,FL,4.0,,Dry bottom wall-fired boiler,Residual Oil
8002_1,Boiler (Oil),0,285.5945243682796,12.017257006166716,415.0530090332031,,,,,43.0974,-70.78340148925781,NH,1.0,NPCC,Tangentially-fired,Residual Oil
8006_1,Boiler (Oil),0,448.32749596666963,9.424089623573467,613.4310302734375,,,,,41.5711,-73.9738998413086,NY,2.0,NPCC,Tangentially-fired,Residual Oil
8006_2,Boiler (Oil),0,563.8609990704119,8.343978734333513,317.1533073686897,9.599969190356443,610.5419921875,,,41.5711,-73.9738998413086,NY,2.0,NPCC,Tangentially-fired,Residual Oil
