group_type,unit_id,cluster,min_aicc,1_b,1_m1,1_x1,2_b,2_m1,2_m2,2_x1,2_x2,3_b,3_m1,3_m2,3_m3,3_x1,3_x2,2_x3
CC (Coal),1004_1,0,2.0,2161.6594889379903,4.065185023461277,445.8500061035156,2366.0040898481084,3.5063832843727054,5.478978143773165,411.57379472988805,445.8500061035156,,,,,,,
CC (Coal),1004_1,2,1.0,924.4948361226304,4.685440762404118,222.9250030517578,954.1113146578436,4.540744677887433,5.40162747627055,160.40347790276485,222.9250030517578,,,,,,,
CC (Coal),1004_1,3,1.0,478.3236178830526,15.484537783884237,37.92499923706055,,,,,,,,,,,,
