unit_id,group_type,cluster,heat_rate_base,heat_rate_incr1,load_point1,heat_rate_incr2,load_point2,heat_rate_incr3,load_point3,latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type
10333_1,Stoker (Other Solid Fuel),0,318.245949583784,9.292631303676936,76.7750015258789,,,,,28.5814,-82.4302978515625,FL,4.0,FRCC,Stoker,Wood
10525_ES5A,Stoker (Other Solid Fuel),0,719.4559638949464,-0.4293813491897569,48.099998474121094,,,,,35.1285,-77.16999816894531,NC,4.0,SERC,Stoker,Wood
3982_2,Stoker (Other Solid Fuel),0,53.36411771390053,13.253786222801395,13.875,,,,,46.5869,-90.90170288085938,WI,5.0,MAPP,Stoker,Wood
54238_BIOMS1,Stoker (Other Solid Fuel),0,159.9127392018307,12.502972771896223,46.25,,,,,37.9416,-121.32730102539062,CA,9.0,,Stoker,Wood
54415_EUBLR,Stoker (Other Solid Fuel),0,97.98016264771529,12.848327425159294,36.07500076293945,,,,,44.2634,-85.43479919433594,MI,5.0,,Stoker,Wood
54751_01,Stoker (Other Solid Fuel),0,21.522713084617415,13.016021811131141,32.375,,,,,43.0841,-83.67430114746094,MI,5.0,,Stoker,Wood
55867_BLR-1,Stoker (Other Solid Fuel),0,258.1493623380842,8.397508299259187,45.168121029575225,14.362277831679833,58.17656221119059,45.09384528651357,61.974998474121094,45.2996,-95.5604019165039,MN,5.0,MAPP,Stoker,Other Solid Fuel
