unit_id,group_type,cluster,heat_rate_base,heat_rate_incr1,load_point1,heat_rate_incr2,load_point2,heat_rate_incr3,load_point3,latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type
10030_3,CT (NG),0,121.51128419816959,6.548702025444412,48.1500015258789,,,,,39.1467,-75.54609680175781,DE,3.0,,Combustion turbine,Pipeline Natural Gas
1011_2,CT (NG),0,115.99077939427549,11.42537509901348,64.52100372314453,,,,,37.9694,-87.60440063476562,IN,5.0,,Combustion turbine,Pipeline Natural Gas
10294_2,CT (NG),0,175.22023424650376,4.416402957387434,22.163054878024568,8.038635627156022,45.26100158691406,,,36.225,-121.12779998779295,CA,9.0,,Combustion turbine,Pipeline Natural Gas
10349_2,CT (NG),0,52.643732541047676,8.506044219059664,39.483001708984375,,,,,39.1365,-121.63970184326172,CA,9.0,,Combustion turbine,Pipeline Natural Gas
10_CT2,CT (NG),0,131.66334714973894,11.742708423784373,82.81800079345703,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT3,CT (NG),0,138.54255660968565,11.697663792836568,78.00299835205078,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT4,CT (NG),0,135.87718000678296,11.468069440566161,79.92900085449219,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT5,CT (NG),0,341.65408451385485,7.9266279068962575,63.8523244132232,11.478678416746734,79.92900085449219,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT6,CT (NG),0,136.13930798088916,11.528198252102108,81.8550033569336,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT7,CT (NG),0,136.74825702402006,11.576455986442582,80.89199829101562,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT8,CT (NG),0,147.4066623632302,11.165379343122515,85.70700073242188,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
10_CT9,CT (NG),0,163.6734329648163,11.262098679984353,82.81800079345703,,,,,32.6017,-87.78109741210938,AL,4.0,SERC,Combustion turbine,Pipeline Natural Gas
118_CT3,CT (NG),0,302.80923883683533,6.799314848108661,70.29900360107422,,,,,32.5517,-111.3000030517578,AZ,9.0,WECC,Combustion turbine,Pipeline Natural Gas
120_CT5,CT (NG),0,125.44646625039887,7.132784283400918,21.905091983810312,8.275423339697403,45.29169187156104,13.573197567809752,47.1870002746582,32.7214,-114.70970153808594,AZ,9.0,WECC,Combustion turbine,Pipeline Natural Gas
120_CT6,CT (NG),0,111.92029577831543,7.764528245728728,23.256177531237146,8.398599007953582,42.475285926009846,9.312077449847491,47.1870002746582,32.7214,-114.70970153808594,AZ,9.0,WECC,Combustion turbine,Pipeline Natural Gas
1217_2,CT (NG),0,331.30070222939753,6.765712654042031,52.00199890136719,,,,,43.1606,-95.25689697265624,IA,7.0,MAPP,Combustion turbine,Pipeline Natural Gas
1239_12,CT (NG),0,613.1424545836055,3.5892478240470185,134.03090285359372,6.229703999122244,224.02703007554183,7.529587322486909,275.41799926757807,37.0719,-94.69860076904295,KS,7.0,SPP,Combustion turbine,Pipeline Natural Gas
