unit_id,group_type,cluster,heat_rate_base,heat_rate_incr1,load_point1,heat_rate_incr2,load_point2,heat_rate_incr3,load_point3,latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type
1046_1,Boiler (NG),0,45.673411294100276,13.191563097065362,22.46582641368973,14.746385425986922,31.77899932861328,,,42.506,-90.65270233154295,IA,7.0,MAPP,Dry bottom wall-fired boiler,Natural Gas
1046_5,Boiler (NG),0,50.728424474122384,10.794549327419851,21.18600082397461,,,,,42.506,-90.65270233154295,IA,7.0,MAPP,Dry bottom wall-fired boiler,Natural Gas
116_1,Boiler (NG),0,215.7843214240361,4.152437162539411,25.07296414700043,10.019074655527232,62.52266615287007,11.228373675446123,98.22599792480469,33.4225,-111.91220092773438,AZ,9.0,,Tangentially-fired,Pipeline Natural Gas
116_2,Boiler (NG),0,112.31261237593685,9.742035599452246,50.19741352644822,10.803927942592736,102.0780029296875,,,33.4225,-111.91220092773438,AZ,9.0,,Tangentially-fired,Pipeline Natural Gas
120_1,Boiler (NG),0,153.149891005864,5.994483080249088,24.8733678628392,10.641880499563523,53.281938012017534,11.90893919423533,72.2249984741211,32.7214,-114.70970153808594,AZ,9.0,WECC,Tangentially-fired,Pipeline Natural Gas
1217_1,Boiler (NG),0,8.583659770091723,12.757885724869132,35.63100051879883,,,,,43.1606,-95.25689697265624,IA,7.0,MAPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1240_1,Boiler (NG),0,380.51456188789183,2.325345851628457,37.77867929814252,10.060217185972961,144.6565195966581,17.422819930766288,155.04299926757812,37.7903,-97.52169799804688,KS,7.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1240_2,Boiler (NG),0,1069.5760671033718,0.4423560714521821,85.77073606335,9.399727447694486,150.4417928704311,11.667856406839313,325.4939880371094,37.7903,-97.52169799804688,KS,7.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1242_3,Boiler (NG),0,243.4076347419159,4.700079457416619,26.42232838392806,11.637556917394647,59.862501748638,11.926739834320221,89.55899810791016,37.5956,-97.41310119628906,KS,7.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas
1242_4,Boiler (NG),0,113.93156739849115,11.366796612979432,78.96600341796875,,,,,37.5956,-97.41310119628906,KS,7.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas
126_1,Boiler (NG),0,143.0206802608273,6.062648656247458,20.96258714908512,10.38805469420796,68.37300109863281,,,32.16,-110.90470123291016,AZ,9.0,,Tangentially-fired,Natural Gas
126_2,Boiler (NG),0,263.0516834687725,-0.15657605319941809,19.498258990359602,9.705215206500236,72.2249984741211,,,32.16,-110.90470123291016,AZ,9.0,,Tangentially-fired,Natural Gas
126_3,Boiler (NG),0,130.78189873702087,7.3776079467626285,28.0596741074548,10.166476175176586,81.39992500281987,16.401968607333828,89.55899810791016,32.16,-110.90470123291016,AZ,9.0,,Tangentially-fired,Natural Gas
1271_4,Boiler (NG),0,28.48370780040141,10.145851462003751,17.57856431924669,11.804069486698051,35.63100051879883,,,37.0456,-95.60759735107422,KS,7.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1336_S-2,Boiler (NG),0,280.55834738414245,0.12547534506670294,25.48640149038827,10.049205423921704,63.14675765862157,10.712614879300617,99.18900299072266,37.9703,-100.89559936523438,KS,7.0,SPP,Tangentially-fired,Pipeline Natural Gas
1393_4,Boiler (NG),0,445.7417235078546,9.737550773573927,352.1936090896202,10.916917425781481,426.6090087890625,,,30.2861,-93.2917022705078,LA,6.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1394_2,Boiler (NG),0,151.14199290469298,10.01355529563257,102.0780029296875,,,,,30.2743,-91.11640167236328,LA,6.0,,Tangentially-fired,Pipeline Natural Gas
1400_3,Boiler (NG),0,260.9028642140621,8.735183189248678,134.61261755895842,9.46042252066034,241.91113027679344,10.245473433621813,319.71600341796875,29.8223,-91.5427017211914,LA,6.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1402_2,Boiler (NG),0,283.91510147909696,9.382570617736091,182.39734040178863,10.121985148029527,405.4230041503906,,,30.0033,-90.46109771728516,LA,6.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas
1402_3,Boiler (NG),0,486.3968519771059,9.010469318910957,285.53303076698563,10.384395971142167,520.9829711914061,,,30.0033,-90.46109771728516,LA,6.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas
1403_3,Boiler (NG),0,108.56663606104703,10.446895168759793,92.447998046875,,,,,29.9472,-90.1457977294922,LA,6.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1403_4,Boiler (NG),0,483.7905171238983,9.464148601709107,726.1019897460938,,,,,29.9472,-90.1457977294922,LA,6.0,SPP,Tangentially-fired,Pipeline Natural Gas
1403_5,Boiler (NG),0,631.0243930103875,8.556880648924787,458.8295566474949,8.858622551552143,755.9550170898438,,,29.9472,-90.1457977294922,LA,6.0,SPP,Tangentially-fired,Pipeline Natural Gas
1409_2,Boiler (NG),0,120.2920754727789,9.945285813914662,230.1569976806641,,,,,30.0081,-89.93720245361328,LA,6.0,SPP,Dry bottom wall-fired boiler,Pipeline Natural Gas
1416_5A,Boiler (NG),0,174.90823632884883,10.743171611200577,38.47990339641818,14.334242459638359,112.6709976196289,,,32.5181,-93.76110076904295,LA,6.0,SPP,Tangentially-fired,Pipeline Natural Gas
1417_3,Boiler (NG),0,161.80547231842104,7.050871189413613,37.37771998294437,14.369875352580351,43.334999084472656,,,32.7047,-93.95970153808594,LA,6.0,SPP,Tangentially-fired,Pipeline Natural Gas
1417_4,Boiler (NG),0,5.003304893285732,10.859497534624856,110.74500274658205,,,,,32.7047,-93.95970153808594,LA,6.0,SPP,Tangentially-fired,Pipeline Natural Gas
141_1,Boiler (NG),0,106.18813589511952,9.050694189450368,64.22171675291507,9.724923818198453,108.81900024414062,,,33.5542,-112.21610260009766,AZ,9.0,WECC,Dry bottom wall-fired boiler,Pipeline Natural Gas
