group_type,unit_id,cluster,min_aicc,1_b,1_m1,1_x1,2_b,2_m1,2_m2,2_x1,2_x2,3_b,3_m1,3_m2,3_m3,3_x1,3_x2,2_x3
Boiler (Other Solid Fuel),2367_5,0,1.0,377.0741645857077,6.565269321585995,45.32500076293945,377.7557437295917,6.548655302341554,9.678387350865533,43.80204222749434,45.32500076293945,,,,,,,
Boiler (Other Solid Fuel),55708_BFB-1,0,1.0,182.62656670785623,11.298415103791282,101.75,,,,,,,,,,,,
Boiler (Other Solid Fuel),57241_BFB1,0,1.0,490.6572597940531,9.435641728895183,106.375,492.7643848807191,9.40882664253767,58.076936160538274,105.3895149227537,106.375,,,,,,,
Boiler (Other Solid Fuel),58054_ST01,0,2.0,32.187430394978676,13.31758836906746,70.30000305175781,2688.1914571824423,-42.93516658899537,13.342058144576727,47.22497239577861,70.30000305175781,,,,,,,
Boiler (Other Solid Fuel),589_1,0,2.0,86.27838222395619,12.636436087118124,54.57500076293945,79.17659734323635,12.841015141574912,51.46402699687714,52.41591826255065,54.57500076293945,115.47946639195715,11.317052618692273,12.582995681035323,13.284397021737009,21.787625365951516,48.818293555856975,54.57500076293945
