unit_id,group_type,cluster,heat_rate_base,heat_rate_incr1,load_point1,heat_rate_incr2,load_point2,heat_rate_incr3,load_point3,latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type
1001_1,Boiler (Coal),0,817.8847429433971,7.9891021691224635,347.07621558406373,11.435592701791801,467.9177719035356,13.287855038045356,506.8999938964844,39.9239,-87.42720031738281,IN,5.0,ECAR,Tangentially-fired,Coal
1001_2,Boiler (Coal),0,721.5988611120722,8.118436222065174,400.50917283213585,10.900664932011232,509.976293487234,25.97932527687892,521.7000122070311,39.9239,-87.42720031738281,IN,5.0,ECAR,Tangentially-fired,Coal
10075_1,Boiler (Coal),0,60.211591594368194,12.2303840625694,69.375,,,,,47.5314,-90.91110229492188,MN,5.0,MAPP,Tangentially-fired,Coal
10075_2,Boiler (Coal),0,141.75659763112438,7.223545756437573,29.54509332288969,11.822489902030554,72.1500015258789,,,47.5314,-90.91110229492188,MN,5.0,MAPP,Tangentially-fired,Coal
1008_2,Boiler (Coal),0,152.73132391724837,8.921410105613209,142.4499969482422,,,,,38.2636,-85.83809661865234,IN,5.0,ECAR,Dry bottom wall-fired boiler,Coal
1008_4,Boiler (Coal),0,295.7240073779666,6.927961802661617,72.9773669681682,9.710248678731674,143.375,,,38.2636,-85.83809661865234,IN,5.0,ECAR,Dry bottom wall-fired boiler,Coal
1010_6,Boiler (Coal),0,196.8688749368116,7.124156354021015,216.94202134259427,8.866169124255135,315.42498779296875,,,39.53,-87.42469787597656,IN,5.0,,Tangentially-fired,Coal
1012_2,Boiler (Coal),0,70.44901702878914,12.020676490520136,92.5,,,,,37.91,-87.32669830322266,IN,5.0,ECAR,Dry bottom wall-fired boiler,Coal
1012_3,Boiler (Coal),0,253.8405654335767,11.051394539663457,162.67185622459712,11.976429598492473,266.39999389648443,,,37.91,-87.32669830322266,IN,5.0,ECAR,Dry bottom wall-fired boiler,Coal
10143_AAB01,Boiler (Coal),0,446.8097260801501,7.809341747797781,113.08253556985815,18.456494325259353,117.4749984741211,,,40.55,-78.80000305175781,PA,3.0,MAAC,Circulating fluidized bed boiler,Coal Refuse
