unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
10464_E0001,,,,,,,,,,,0.0,,,,,,,44.0361,-75.77120208740234,NY,2.0,NPCC,Circulating fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
10464_E0002,,,,,,,,,,,0.0,,,,,,,44.0361,-75.77120208740234,NY,2.0,NPCC,Circulating fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
10464_E0003,,,,,,,,,,,0.0,,,,,,,44.0361,-75.77120208740234,NY,2.0,NPCC,Circulating fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
2367_5,-9.888908177498086e-07,-2.728739771846437e-05,0.0005585318976593939,0.1459373849514545,13.564525379940221,35.150001525878906,37.693751335144036,40.23750114440918,42.78125095367432,45.32500076293945,304310.1875,0.7755102515220642,16.689691634665426,16.401321924368883,15.971066508973047,15.381008781818284,14.612238431961144,43.0978,-70.7842025756836,NH,1.0,,Circulating fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
4146_B1,,,,,,,,,,,0.0,,,,,,,42.7083,-90.98529815673828,WI,5.0,,Dry bottom wall-fired boiler,Wood,Boiler (Other Solid Fuel)
4146_B2,,,,,,,,,,,0.0,,,,,,,42.7083,-90.98529815673828,WI,5.0,,Dry bottom wall-fired boiler,Wood,Boiler (Other Solid Fuel)
50202_1,,,,,,,,,,,0.0,,,,,,,43.0804,-79.0082015991211,NY,2.0,NPCC,Circulating fluidized bed boiler,Other Solid Fuel,Boiler (Other Solid Fuel)
55708_BFB-1,3.1516014848324085e-07,-2.1781207707846044e-05,-0.0021751557094261288,0.005467848441205941,24.431195856216522,70.30000305175781,78.16250228881836,86.0250015258789,93.88750076293944,101.75,192736.71875,0.6909091472625732,14.195899514527635,12.931867635141758,12.19817987387351,12.233126164849233,13.303902242855434,31.8326,-94.90059661865234,TX,6.0,,Bubbling fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
57241_BFB1,4.232644214226513e-07,-7.089643219182071e-05,-0.0011786586502541276,0.6093490492084089,-6.425089543114213,57.349998474121094,69.60624885559082,81.86249923706055,94.11874961853027,106.375,363554.625,0.5391304492950441,15.850307134653391,16.305196214351938,15.673963126971776,14.589861257345753,13.91536451594448,29.7675,-82.39640045166016,FL,4.0,,Bubbling fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
58054_ST01,-6.079325425557167e-09,-4.222893512621283e-06,-8.969101866879315e-05,0.053813472741297545,12.030929250635538,46.25,52.26250076293945,58.2750015258789,64.28750228881836,70.30000305175781,526079.875,0.6578947305679321,13.882353396142273,13.95021225063254,13.95649746832467,13.893949183707404,13.755116859142426,44.4719,-71.17530059814453,NH,1.0,,Bubbling fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
58124_1,,,,,,,,,,,0.0,,,,,,,44.8878,-89.62979888916016,WI,5.0,,Circulating fluidized bed boiler,Wood,Boiler (Other Solid Fuel)
589_1,-8.673848005600466e-07,8.27317241201496e-05,0.0007247130739273025,-0.2876353768246691,22.017055225122125,17.575000762939453,26.82500076293945,36.07500076293945,45.32500076293945,54.57500076293945,578865.0,0.3220339119434357,17.552073891917555,15.970546814115892,14.998808812535493,14.511563582747184,14.231113061084065,44.4917,-73.20809936523438,VT,1.0,NPCC,Other boiler,Wood,Boiler (Other Solid Fuel)
