unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
10333_1,-5.1180387169518676e-08,4.440776517671093e-06,-0.0005148653250814158,-0.05787521534393315,20.05210938518217,23.125,36.53750038146973,49.95000076293945,63.36250114440918,76.7750015258789,365098.4375,0.3012048006057739,18.478693142265953,17.37554917847581,16.111485638143712,14.622627528139033,12.805348329997466,28.5814,-82.4302978515625,FL,4.0,FRCC,Stoker,Wood,Stoker (Other Solid Fuel)
10378_BLR01A,,,,,,,,,,,0.0,,,,,,,33.9444,-78.01249694824219,NC,4.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10378_BLR01B,,,,,,,,,,,0.0,,,,,,,33.9444,-78.01249694824219,NC,4.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10378_BLR01C,,,,,,,,,,,0.0,,,,,,,33.9444,-78.01249694824219,NC,4.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10378_BLR02A,,,,,,,,,,,0.0,,,,,,,33.9444,-78.01249694824219,NC,4.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10378_BLR02B,,,,,,,,,,,0.0,,,,,,,33.9444,-78.01249694824219,NC,4.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10378_BLR02C,,,,,,,,,,,0.0,,,,,,,33.9444,-78.01249694824219,NC,4.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10379_BLR01A,,,,,,,,,,,0.0,,,,,,,36.435,-78.96189880371094,NC,4.0,SERC,Stoker,Wood,Stoker (Other Solid Fuel)
10379_BLR01B,,,,,,,,,,,0.0,,,,,,,36.435,-78.96189880371094,NC,4.0,SERC,Stoker,Wood,Stoker (Other Solid Fuel)
10379_BLR01C,,,,,,,,,,,0.0,,,,,,,36.435,-78.96189880371094,NC,4.0,SERC,Stoker,Wood,Stoker (Other Solid Fuel)
10381_BLR01A,,,,,,,,,,,0.0,,,,,,,35.0225,-77.85749816894531,NC,4.0,SERC,Stoker,Wood,Stoker (Other Solid Fuel)
10381_BLR01B,,,,,,,,,,,0.0,,,,,,,35.0225,-77.85749816894531,NC,4.0,SERC,Stoker,Wood,Stoker (Other Solid Fuel)
10525_ES5A,-1.2165081089381935e-06,-1.7847415386184973e-05,0.0011765216288067866,0.15825263694681246,12.68015470259452,42.54999923706055,43.937499046325684,45.32499885559082,46.71249866485596,48.099998474121094,553278.5,0.8846154212951659,16.181375283872796,15.857077395443154,15.473988431451115,15.028341672904372,14.516262193157404,35.1285,-77.16999816894531,NC,4.0,SERC,Stoker,Wood,Stoker (Other Solid Fuel)
10771_1,,,,,,,,,,,0.0,,,,,,,37.2969,-77.2833023071289,VA,3.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10771_2,,,,,,,,,,,0.0,,,,,,,37.2969,-77.2833023071289,VA,3.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10773_1,,,,,,,,,,,0.0,,,,,,,37.1183,-79.27259826660156,VA,3.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10773_2,,,,,,,,,,,0.0,,,,,,,37.1183,-79.27259826660156,VA,3.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10774_1,,,,,,,,,,,0.0,,,,,,,36.6525,-76.99530029296875,VA,3.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10774_2,,,,,,,,,,,0.0,,,,,,,36.6525,-76.99530029296875,VA,3.0,,Stoker,Wood,Stoker (Other Solid Fuel)
10822_1,,,,,,,,,,,0.0,,,,,,,44.6062,-84.69010162353516,MI,5.0,,Stoker,Wood,Stoker (Other Solid Fuel)
1897_3,,,,,,,,,,,0.0,,,,,,,46.7356,-92.1530990600586,MN,5.0,MAPP,Stoker,Wood,Stoker (Other Solid Fuel)
1897_4,,,,,,,,,,,0.0,,,,,,,46.7356,-92.1530990600586,MN,5.0,MAPP,Stoker,Wood,Stoker (Other Solid Fuel)
3982_1,0.0003775328273417524,-0.0047321995249500854,-0.061791426772643224,0.25554584715128875,24.554824114085864,10.175000190734863,11.100000143051147,12.025000095367432,12.950000047683716,13.875,159761.390625,0.7333333492279053,19.81930454340969,19.037372581759342,18.35819138134169,17.842205920288066,17.55649452506099,46.5869,-90.90170288085938,WI,5.0,MAPP,Stoker,Wood,Stoker (Other Solid Fuel)
3982_2,0.00014064768760715577,-0.002789221770905666,-0.02552890950259907,0.39278581870979135,18.549080388736343,9.25,10.40625,11.5625,12.71875,13.875,153243.828125,0.6666666865348816,18.820167085481,18.378163925294935,17.87992365881136,17.35689250567021,16.84654992855767,46.5869,-90.90170288085938,WI,5.0,MAPP,Stoker,Wood,Stoker (Other Solid Fuel)
50736_B1,,,,,,,,,,,0.0,,,,,,,41.7132,-71.82230377197266,CT,1.0,NPCC,Stoker,Tire Derived Fuel,Stoker (Other Solid Fuel)
50736_B2,,,,,,,,,,,0.0,,,,,,,41.7132,-71.82230377197266,CT,1.0,NPCC,Stoker,Tire Derived Fuel,Stoker (Other Solid Fuel)
54238_BIOMS1,-1.0638916969149055e-06,-1.0133155691289828e-05,0.0014089346879257952,0.15542871663648974,11.515518955115414,34.22499847412109,37.23124885559082,40.23749923706055,43.24374961853027,46.25,572846.125,0.7399999499320984,16.619464671976722,16.688161573117643,16.601758490552143,16.33173276792349,15.847476253377788,37.9416,-121.32730102539062,CA,9.0,,Stoker,Wood,Stoker (Other Solid Fuel)
54415_EUBLR,-4.6243887418178354e-05,0.0023883985441858963,0.004193454228791917,-1.7747034436377715,38.90076914033296,12.949999809265135,18.73125004768372,24.51250028610229,30.293750524520874,36.07500076293945,242971.59375,0.3589743375778198,20.50804170465293,17.133582854127084,16.400212382988194,16.44007011708616,14.145492979319208,44.2634,-85.43479919433594,MI,5.0,,Stoker,Wood,Stoker (Other Solid Fuel)
