unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
1866_5,,,,,,,,,,,0.0,,,,,,,42.2081,-83.14530181884766,MI,5.0,ECAR,Stoker,Pipeline Natural Gas,Stoker (NG)
880057_03,,,,,,,,,,,0.0,,,,,,,34.2337,-80.65799713134766,SC,4.0,,Stoker,Pipeline Natural Gas,Stoker (NG)
992_16,,,,,,,,,,,0.0,,,,,,,39.7622,-86.16670227050781,IN,5.0,ECAR,Stoker,Pipeline Natural Gas,Stoker (NG)
