unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
1001_4,,,,,,,,,,,0.0,,,,,,,39.9239,-87.42720031738281,IN,5.0,ECAR,Combustion turbine,Pipeline Natural Gas,CT (NG)
10030_3,1.476032353147521e-07,-2.136630131431604e-05,-0.0005316074264604981,0.06055467459556752,8.951100117892723,40.44599914550781,42.371999740600586,44.29800033569336,46.22400093078613,48.1500015258789,29871.296875,0.8399999737739563,9.511953970464669,9.412845752142918,9.301444102991233,9.17792988824301,9.042532718436012,39.1467,-75.54609680175781,DE,3.0,,Combustion turbine,Pipeline Natural Gas,CT (NG)
1011_1,,,,,,,,,,,0.0,,,,,,,37.9694,-87.60440063476562,IN,5.0,,Combustion turbine,Pipeline Natural Gas,CT (NG)
1011_2,2.673128731323675e-06,-0.0006301448825917022,0.05492174113021237,-2.1402218181095,45.541113791961756,34.667999267578125,42.13125038146973,49.59450149536133,57.05775260925293,64.52100372314453,9736.892578125,0.5373134016990662,14.958130389932547,14.15650375446768,13.788642673366098,13.505965913197064,13.158933601849613,37.9694,-87.60440063476562,IN,5.0,,Combustion turbine,Pipeline Natural Gas,CT (NG)
1016_GT-4,,,,,,,,,,,0.0,,,,,,,35.0986,-78.82939910888672,NC,4.0,SERC,Combustion turbine,Pipeline Natural Gas,CT (NG)
1016_GT-5,,,,,,,,,,,0.0,,,,,,,35.0986,-78.82939910888672,NC,4.0,SERC,Combustion turbine,Pipeline Natural Gas,CT (NG)
10294_2,3.8331854005016934e-05,-0.005321175693150831,0.2729758881882301,-6.2120843612944565,64.64382334191791,20.222999572753906,26.482500076293945,32.742000579833984,39.00150108337402,45.26100158691406,7997.7158203125,0.4468084871768952,13.057670072737473,11.601146614033176,11.165038337707493,10.600362900218519,10.170447137601217,36.225,-121.12779998779295,CA,9.0,,Combustion turbine,Pipeline Natural Gas,CT (NG)
10349_2,7.43985883535949e-06,-0.0004301347852735767,-0.0002799077553691001,0.2525887935679712,8.377736442141101,19.26000022888184,24.31575059890747,29.371500968933105,34.42725133895874,39.483001708984375,46513.8671875,0.4878048598766327,11.089429052924075,10.771002840665048,10.193201034573985,9.641914662297832,9.519693799004925,39.1365,-121.63970184326172,CA,9.0,,Combustion turbine,Pipeline Natural Gas,CT (NG)
10682_GT2,,,,,,,,,,,0.0,,,,,,,40.2415,-103.63099670410156,CO,8.0,WECC,Combustion turbine,Pipeline Natural Gas,CT (NG)
10870_TURB2,,,,,,,,,,,0.0,,,,,,,40.9282,-76.0416030883789,PA,3.0,,Combustion turbine,Pipeline Natural Gas,CT (NG)
