unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
1002_1A,,,,,,,,,,,0.0,,,,,,,39.6561,-85.17579650878906,IN,5.0,,Combustion turbine,Diesel Oil,CT (Oil)
1002_1B,,,,,,,,,,,0.0,,,,,,,39.6561,-85.17579650878906,IN,5.0,,Combustion turbine,Diesel Oil,CT (Oil)
1002_2A,,,,,,,,,,,0.0,,,,,,,39.6561,-85.17579650878906,IN,5.0,,Combustion turbine,Diesel Oil,CT (Oil)
1002_2B,,,,,,,,,,,0.0,,,,,,,39.6561,-85.17579650878906,IN,5.0,,Combustion turbine,Diesel Oil,CT (Oil)
10176_A,,,,,,,,,,,0.0,,,,,,,42.3414,-71.03109741210938,MA,1.0,NPCC,Combustion turbine,Other Oil,CT (Oil)
10176_B,,,,,,,,,,,0.0,,,,,,,42.3414,-71.03109741210938,MA,1.0,NPCC,Combustion turbine,Other Oil,CT (Oil)
1068_1A,,,,,,,,,,,0.0,,,,,,,42.0474,-92.8593978881836,IA,7.0,,Combustion turbine,Diesel Oil,CT (Oil)
1068_1B,,,,,,,,,,,0.0,,,,,,,42.0474,-92.8593978881836,IA,7.0,,Combustion turbine,Diesel Oil,CT (Oil)
1068_2A,-8.525562503616903e-05,0.006456357201727379,-0.16138773898563888,1.207837325320669,15.026435034544829,13.482000350952148,17.33400011062622,21.185999870300293,25.037999629974365,28.88999938964844,3750.88427734375,0.4666666984558106,14.980870393754902,13.401040748379335,12.396667623268904,11.929432942016067,11.510534711984928,42.0474,-92.8593978881836,IA,7.0,,Combustion turbine,Diesel Oil,CT (Oil)
1068_2B,-1.5689122417850185e-05,0.0008377435133385051,-0.0032461718010367096,-0.5255071658095409,19.991180639674944,17.333999633789062,19.74149990081787,22.14900016784668,24.55650043487549,26.964000701904297,2571.210205078125,0.6428571343421936,12.853467830854221,12.414211439752565,12.086135059367988,11.829326856258945,11.591225441355185,42.0474,-92.8593978881836,IA,7.0,,Combustion turbine,Diesel Oil,CT (Oil)
