unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
10071_BLR01A,,,,,,,,,,,0.0,,,,,,,36.8703,-76.35189819335938,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10071_BLR01B,,,,,,,,,,,0.0,,,,,,,36.8703,-76.35189819335938,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10071_BLR01C,,,,,,,,,,,0.0,,,,,,,36.8703,-76.35189819335938,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10071_BLR02A,,,,,,,,,,,0.0,,,,,,,36.8703,-76.35189819335938,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10071_BLR02B,,,,,,,,,,,0.0,,,,,,,36.8703,-76.35189819335938,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10071_BLR02C,,,,,,,,,,,0.0,,,,,,,36.8703,-76.35189819335938,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10377_BLR01A,,,,,,,,,,,0.0,,,,,,,37.2939,-77.26969909667969,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10377_BLR01B,,,,,,,,,,,0.0,,,,,,,37.2939,-77.26969909667969,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10377_BLR01C,,,,,,,,,,,0.0,,,,,,,37.2939,-77.26969909667969,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10377_BLR02A,,,,,,,,,,,0.0,,,,,,,37.2939,-77.26969909667969,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10377_BLR02B,,,,,,,,,,,0.0,,,,,,,37.2939,-77.26969909667969,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10377_BLR02C,,,,,,,,,,,0.0,,,,,,,37.2939,-77.26969909667969,VA,3.0,SERC,Stoker,Coal,Stoker (Coal)
10380_UNIT1,,,,,,,,,,,0.0,,,,,,,34.6474,-78.64070129394531,NC,4.0,,Stoker,Coal,Stoker (Coal)
10380_UNIT2,,,,,,,,,,,0.0,,,,,,,34.6474,-78.64070129394531,NC,4.0,,Stoker,Coal,Stoker (Coal)
10382_UNIT1,,,,,,,,,,,0.0,,,,,,,34.59,-78.9968032836914,NC,4.0,,Stoker,"Coal, Wood",Stoker (Coal)
10382_UNIT2,,,,,,,,,,,0.0,,,,,,,34.59,-78.9968032836914,NC,4.0,,Stoker,"Coal, Wood",Stoker (Coal)
10384_BLR01A,,,,,,,,,,,0.0,,,,,,,36.0378,-77.75420379638672,NC,4.0,,Stoker,Coal,Stoker (Coal)
10384_BLR01B,,,,,,,,,,,0.0,,,,,,,36.0378,-77.75420379638672,NC,4.0,,Stoker,Coal,Stoker (Coal)
10384_BLR02A,,,,,,,,,,,0.0,,,,,,,36.0378,-77.75420379638672,NC,4.0,,Stoker,Coal,Stoker (Coal)
10384_BLR02B,,,,,,,,,,,0.0,,,,,,,36.0378,-77.75420379638672,NC,4.0,,Stoker,Coal,Stoker (Coal)
2123_6,,,,,,,,,,,0.0,,,,,,,38.9658,-92.31749725341795,MO,7.0,SERC,Stoker,Coal,Stoker (Coal)
2123_7,,,,,,,,,,,0.0,,,,,,,38.9658,-92.31749725341795,MO,7.0,SERC,Stoker,Coal,Stoker (Coal)
50244_RB,,,,,,,,,,,0.0,,,,,,,35.535,-82.84110260009766,NC,4.0,,Stoker,Coal,Stoker (Coal)
50481_83-23,,,,,,,,,,,0.0,,,,,,,36.5192,-82.53500366210938,TN,4.0,,Stoker,Coal,Stoker (Coal)
50481_83-24,,,,,,,,,,,0.0,,,,,,,36.5192,-82.53500366210938,TN,4.0,,Stoker,Coal,Stoker (Coal)
50806_16,,,,,,,,,,,0.0,,,,,,,34.1519,-79.55870056152344,SC,4.0,,Stoker,Coal,Stoker (Coal)
50835_1,,,,,,,,,,,0.0,,,,,,,44.217,-86.29060363769531,MI,5.0,,Stoker,Coal,Stoker (Coal)
50835_2,,,,,,,,,,,0.0,,,,,,,44.217,-86.29060363769531,MI,5.0,,Stoker,Coal,Stoker (Coal)
50900_002,,,,,,,,,,,0.0,,,,,,,37.7997,-79.99459838867188,VA,3.0,,Stoker,Coal,Stoker (Coal)
50900_003,,,,,,,,,,,0.0,,,,,,,37.7997,-79.99459838867188,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR01A,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR01B,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR02A,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR02B,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR03A,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR03B,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR04A,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
54081_BLR04B,,,,,,,,,,,0.0,,,,,,,37.4556,-77.43080139160156,VA,3.0,,Stoker,Coal,Stoker (Coal)
880041_Z005,,,,,,,,,,,0.0,,,,,,,34.6339,-87.02439880371094,AL,4.0,,Stoker,Coal,Stoker (Coal)
880041_Z006,,,,,,,,,,,0.0,,,,,,,34.6339,-87.02439880371094,AL,4.0,,Stoker,Coal,Stoker (Coal)
880079_34,,,,,,,,,,,0.0,,,,,,,35.7433,-84.32080078125,TN,4.0,,Stoker,Coal,Stoker (Coal)
880079_35,,,,,,,,,,,0.0,,,,,,,35.7433,-84.32080078125,TN,4.0,,Stoker,Coal,Stoker (Coal)
