unit_id,a4,a3,a2,a1,a0,load_min,load_2,load_3,load_4,load_max,total_load,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),latitude,longitude,state,EPA_region,NERC_region,unit_type,fuel_type,group_type
10029_3,,,,,,,,,,,0.0,,,,,,,42.45,-70.9738998413086,MA,1.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas,Boiler (NG)
10398_B001,,,,,,,,,,,0.0,,,,,,,41.4739,-81.67279815673828,OH,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10398_B002,,,,,,,,,,,0.0,,,,,,,41.4739,-81.67279815673828,OH,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10398_B003,,,,,,,,,,,0.0,,,,,,,41.4739,-81.67279815673828,OH,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10398_B004,,,,,,,,,,,0.0,,,,,,,41.4739,-81.67279815673828,OH,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10398_B007,,,,,,,,,,,0.0,,,,,,,41.4739,-81.67279815673828,OH,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
1046_1,,,,,,3.8519999980926514,,,,31.77899932861328,5084.64013671875,0.12121212482452393,,,,,,42.506,-90.65270233154295,IA,7.0,MAPP,Dry bottom wall-fired boiler,Natural Gas,Boiler (NG)
1046_5,-8.436029084026086e-05,-0.004059146051925396,0.31020070652294457,-5.396004591815818,43.3057891218318,5.777999877929688,9.630000114440918,13.482000350952148,17.334000587463382,21.18600082397461,3672.8818359375,0.27272725105285645,21.60677753021245,15.758760871571829,14.206032270935804,14.219314019762187,12.6235751469734,42.506,-90.65270233154295,IA,7.0,MAPP,Dry bottom wall-fired boiler,Natural Gas,Boiler (NG)
1046_6,,,,,,,,,,,0.0,,,,,,,42.506,-90.65270233154295,IA,7.0,MAPP,Dry bottom wall-fired boiler,Natural Gas,Boiler (NG)
10474_211,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10474_212,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10474_213,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10474_501,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10474_502,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10474_503,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10474_504,,,,,,,,,,,0.0,,,,,,,41.68,-87.42639923095703,IN,5.0,,Dry bottom wall-fired boiler,Process Gas,Boiler (NG)
10698_BLR08,,,,,,,,,,,0.0,,,,,,,42.3049,-85.57830047607422,MI,5.0,,Dry bottom wall-fired boiler,Natural Gas,Boiler (NG)
10745_016,,,,,,,,,,,0.0,,,,,,,43.5861,-84.22419738769531,MI,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10745_017,,,,,,,,,,,0.0,,,,,,,43.5861,-84.22419738769531,MI,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10745_018,,,,,,,,,,,0.0,,,,,,,43.5861,-84.22419738769531,MI,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10745_019,,,,,,,,,,,0.0,,,,,,,43.5861,-84.22419738769531,MI,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10745_020,,,,,,,,,,,0.0,,,,,,,43.5861,-84.22419738769531,MI,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10745_021,,,,,,,,,,,0.0,,,,,,,43.5861,-84.22419738769531,MI,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
1077_1,,,,,,,,,,,0.0,,,,,,,42.0472,-92.86270141601562,IA,7.0,MAPP,Dry bottom wall-fired boiler,Pipeline Natural Gas,Boiler (NG)
1077_3,,,,,,,,,,,0.0,,,,,,,42.0472,-92.86270141601562,IA,7.0,MAPP,Cyclone boiler,Pipeline Natural Gas,Boiler (NG)
10788_612,,,,,,,,,,,0.0,,,,,,,38.2431,-81.55599975585938,WV,3.0,,Dry bottom wall-fired boiler,Natural Gas,Boiler (NG)
10865_GB1,,,,,,,,,,,0.0,,,,,,,39.8675,-88.88500213623047,IL,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10865_GB2,,,,,,,,,,,0.0,,,,,,,39.8675,-88.88500213623047,IL,5.0,,Other boiler,Pipeline Natural Gas,Boiler (NG)
10866_13,,,,,,,,,,,0.0,,,,,,,40.6776,-89.60690307617188,IL,5.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas,Boiler (NG)
10866_14,,,,,,,,,,,0.0,,,,,,,40.6776,-89.60690307617188,IL,5.0,,Dry bottom wall-fired boiler,Pipeline Natural Gas,Boiler (NG)
116_1,1.5910859168063928e-06,-0.00039856083614269903,0.03636342749718434,-1.4399769093352404,32.236553717280465,12.519000053405762,33.945749521255486,55.37249898910522,76.79924845695496,98.22599792480469,176044.09375,0.12745098769664764,19.165641426457668,11.780059783058153,11.286706836298375,10.937216356526207,12.032001802318751,33.4225,-111.91220092773438,AZ,9.0,,Tangentially-fired,Pipeline Natural Gas,Boiler (NG)
116_2,8.597513947815635e-07,-0.0002297321756020873,0.02254841129964256,-0.9816928649673452,28.046375821636353,13.482000350952148,35.631000995635986,57.780001640319824,79.92900228500365,102.0780029296875,131640.1875,0.1320754736661911,18.375124473862826,12.688011648535815,11.869890531262255,11.415030657910973,11.78363248451615,33.4225,-111.91220092773438,AZ,9.0,,Tangentially-fired,Pipeline Natural Gas,Boiler (NG)
120_1,-2.798248692669398e-07,3.510078224847478e-05,-0.00022936954834614116,-0.10363486366569236,14.516980361473436,17.333999633789062,31.05674934387207,44.77949905395508,58.50224876403809,72.2249984741211,365605.84375,0.239999994635582,12.809208325007635,11.868305524522462,11.442968868712127,11.419376098755135,11.44554863064109,32.7214,-114.70970153808594,AZ,9.0,WECC,Tangentially-fired,Pipeline Natural Gas,Boiler (NG)
