group_type,unit_id,cluster,min_aicc,1_b,1_m1,1_x1,2_b,2_m1,2_m2,2_x1,2_x2,3_b,3_m1,3_m2,3_m3,3_x1,3_x2,2_x3
CC (NG),10030_CC1,0,3.0,-70.01760814503287,10.070711068303263,65.48400115966797,136.1719800234496,5.867626874542575,12.71811334808495,52.26609613584452,65.48400115966797,142.32159049620014,5.7331324763709,10.954679524023238,12.87592385552779,51.71825908141942,53.91493497495567,65.48400115966797
CC (NG),10030_CC1,1,1.0,82.45270122987075,7.316208780927705,37.55699920654297,111.880309168764,6.4904029767519535,14.814780777331068,33.72574677517504,37.55699920654297,,,,,,,
CC (NG),10034_CC1,0,1.0,150.3954850529793,7.55150521489431,34.667999267578125,160.1061841376339,7.152131772890246,7.6870730120919015,25.772423495095705,34.667999267578125,,,,,,,
CC (NG),10034_CC1,1,1.0,166.01761345701894,6.804555695681937,111.70800018310547,166.2099322949373,6.802439739847546,8.28332012195145,107.31001343927493,111.70800018310547,236.04130910136143,5.700466249195104,6.74979395592265,6.831134328964157,61.50895317045516,72.37977940866378,111.70800018310547
CC (NG),1007_CC1,0,1.0,192.10782159499522,8.068438042738462,23.11199951171875,192.40310516759092,8.037485889093519,9.357339490022099,20.532251743671853,23.11199951171875,,,,,,,
CC (NG),1007_CC1,1,2.0,190.6846080524917,7.563895556457044,71.26200103759766,209.74341372974934,7.236472556550445,8.427485633495573,63.17148504623316,71.26200103759766,,,,,,,
CC (NG),1007_CC1,2,1.0,443.02415027588484,7.008580152563148,141.56100463867188,444.55147787249,6.9960084472774815,7.2320300408277465,78.99021794003916,141.56100463867188,,,,,,,
CC (NG),1007_CC1,3,1.0,204.5682968923615,14.793098561831949,29.85300064086914,395.1894308451078,8.1926011599687,19.2605788156182,27.43062607095909,29.85300064086914,,,,,,,
CC (NG),1007_CC1,4,1.0,612.3922396612213,7.439024293606683,54.89099884033203,649.937138726364,6.469917646907558,11.073674742748306,48.23954881779645,54.89099884033203,,,,,,,
CC (NG),1007_CC1,5,1.0,676.0214142231436,6.910034327047324,221.49000549316406,840.2655103133679,6.053439700726407,6.946945413653021,195.63427939726486,221.49000549316406,,,,,,,
CC (NG),10099_CC1,0,1.0,27.309121201667917,8.304705570545051,134.82000732421875,123.61255945161004,7.426380703779695,8.838080798279417,111.00347053732104,134.82000732421875,,,,,,,
CC (NG),1010_1,0,1.0,-593.5653012541735,10.192387494617744,257.1210021972656,-571.8375461838851,10.102247293287643,14.33096286418587,214.85775424392796,257.1210021972656,,,,,,,
CC (NG),1010_1,1,1.0,620.6851453414096,4.674681324111002,161.78399658203125,660.878999431111,4.305307560005162,7.567812721270948,69.33831638446702,161.78399658203125,,,,,,,
CC (NG),10156_,0,3.0,77.8434029803653,8.480929405026206,42.37200164794922,89.8862642532029,7.750739869288922,9.104186644044372,24.092767329482395,42.37200164794922,90.33941560082589,7.71212537078247,8.833382594735397,11.866778389910493,22.39734318827485,39.25962837017043,42.37200164794922
CC (NG),10169_CC1,0,1.0,98.18295097323036,6.098449039536231,47.1870002746582,100.27759830720618,6.050365587834729,6.987211966572577,46.21109219016429,47.1870002746582,,,,,,,
CC (NG),10190_CCCC,0,1.0,125.17291649875932,6.150704939566235,27.927000045776367,132.63956675302862,5.706826600297309,6.675517291716925,19.955937243779214,27.927000045776367,,,,,,,
CC (NG),10190_CCCC,1,2.0,-64.19061577708696,10.138850659283051,75.11399841308594,131.54571183008147,6.359730666671065,10.250019005025626,52.03596612139963,75.11399841308594,62.918412059236985,7.710980251606349,9.631262525794183,10.367681407068858,49.269174424275164,60.86534556048889,75.11399841308594
CC (NG),10298_CG802,0,1.0,204.71418224766123,10.987761697180378,88.59600067138672,255.17341961540274,10.285968505084968,18.856323692103636,64.4324351098178,88.59600067138672,,,,,,,
CC (NG),10298_CG803,0,2.0,121.67991371113887,12.608855675569123,86.66999816894531,667.0703723252565,3.9101512954021325,13.65918544635528,63.87669972314921,86.66999816894531,1636.3989462329507,-12.35265960639249,9.411512709406393,14.37096633880033,60.32619067612836,67.05733289655134,86.66999816894531
CC (NG),10298_CG804,0,2.0,273.41131928225127,10.594363051045015,85.70700073242188,392.31229345362203,8.727630995808976,12.183520434038398,68.96952127229378,85.70700073242188,,,,,,,
CC (NG),10307_CC1,0,2.0,234.27229751446532,9.192786642368954,115.55999755859375,299.0474805250873,8.375668581794761,9.302517548747874,81.52325071960968,115.55999755859375,,,,,,,
CC (NG),10307_CC1,1,1.0,100.30663671037217,12.215656503151564,86.66999816894531,235.08889287867586,10.459530821861199,14.40929687975595,67.678939583487,86.66999816894531,,,,,,,
CC (NG),10307_CC1,2,2.0,474.41778930669557,9.169764724515616,231.1199951171875,530.6910326107735,8.82122351924155,9.402749097372968,176.73790626429113,231.1199951171875,,,,,,,
CC (NG),10307_CC1,3,1.0,157.45373934344667,10.152568557344782,233.04600524902344,1036.3294776927196,6.317081544157755,12.23709640102338,230.12184013063825,233.04600524902344,,,,,,,
CC (NG),10308_CC1,0,1.0,370.604102838156,7.022791248817202,102.0780029296875,708.6272144695777,3.1427369309011532,8.32578478911563,82.34469900443419,102.0780029296875,,,,,,,
CC (NG),10308_CC1,1,2.0,111.74310739678721,7.725936942775551,156.00599670410156,953.0443009078282,0.8634685024394704,8.105810867935025,123.5991498513602,156.00599670410156,953.0443009078282,0.8634685024394704,8.076698119690152,10.71140075120609,123.56398739265575,151.11521926635993,156.00599670410156
CC (NG),10308_CC1,2,1.0,114.34298779329406,7.980083150657381,312.9750061035156,1464.729263061059,3.41748954458915,8.555849512309388,291.7784323033794,312.9750061035156,,,,,,,
CC (NG),10308_CC1,3,1.0,610.3301396283528,6.4308840582884805,217.63800048828125,640.2231917853245,6.267319683209728,7.66580151912687,200.7974480439965,217.63800048828125,,,,,,,
CC (NG),10350_CC1,0,1.0,92.4986108370216,5.028272262980424,53.928001403808594,,,,,,,,,,,,
CC (NG),10405_CC1,1,1.0,-14.706295723322894,14.985628761937997,20.222999572753906,28.175779360368114,12.657659214650762,15.73740263180166,17.552080549827302,20.222999572753906,,,,,,,
CC (NG),10567_CC1,0,1.0,102.63203890206051,9.73249531518117,34.667999267578125,108.66273926771329,9.535106292540524,10.113332655495942,28.2171139030973,34.667999267578125,,,,,,,
CC (NG),10619_00001,0,3.0,44.6308923754076,7.284584461991991,64.52100372314453,149.8927798194556,4.376394265016353,7.831924383796866,39.303018678469975,64.52100372314453,150.6632569920615,4.352104407029067,7.312270123625299,8.64582559469459,37.87933735968118,53.59954553841686,64.52100372314453
CC (NG),10620_CC1,0,2.0,163.61687665277853,5.2940805774646424,58.74300003051758,259.3679732335231,2.9254906977285136,8.553547790787038,44.7885228507941,58.74300003051758,,,,,,,
CC (NG),10620_CC1,1,1.0,151.4999871550334,6.5420570200371495,15.407999992370605,160.42077174832758,5.8912714570192914,8.73572611650008,11.76045137061005,15.407999992370605,,,,,,,
CC (NG),10621_CC01,0,2.0,41.623844373023694,7.4842323647416755,95.33699798583984,96.91754300741638,6.582634970714518,8.825538376403365,72.51329838882313,95.33699798583984,,,,,,,
CC (NG),10621_CC01,1,1.0,136.05938664238406,9.301585063998521,24.075000762939453,,,,,,,,,,,,
CC (NG),10633_CC1,0,1.0,252.34857116257118,8.823742673160876,98.22599792480469,421.03792987644397,6.943531631957123,8.993977021514766,87.48867546917138,98.22599792480469,,,,,,,
CC (NG),10633_CC1,1,1.0,566.436480281484,8.408956280749434,200.3040008544922,644.4441083933999,7.97668936890226,11.06672819390494,163.8745540918243,200.3040008544922,644.4441083933999,7.97668936890226,11.529160092930264,17.106050619006332,162.3672698886676,165.30073732545662,200.3040008544922
CC (NG),10633_CC1,2,1.0,350.8907456697172,9.634428998811249,145.41299438476562,378.7960379498046,9.43358191919552,10.944602728902742,134.9774954133362,145.41299438476562,,,,,,,
CC (NG),10633_CC1,3,1.0,592.6850286401695,9.538241883695589,299.4930114746094,1270.966409388108,6.944153342897315,9.727923582159727,257.1195403390377,299.4930114746094,,,,,,,
CC (NG),10633_CC1,4,1.0,623.5771840570575,5.945026012879215,284.0849914550781,648.0688289414069,5.8548932069362065,6.582819632989715,261.17508015580864,284.0849914550781,642.5476553673298,5.875118885887147,7.303579916972383,9.68897677114439,257.5158422847384,260.4967005190667,284.0849914550781
CC (NG),10682_BCP,0,2.0,112.46203442971367,9.15580733029703,69.33599853515625,199.42926461917835,6.989576973588193,13.81493997502024,47.33787174631065,69.33599853515625,,,,,,,
CC (NG),10682_BCP,1,1.0,-31.84069887544942,27.864159244055394,23.11199951171875,113.76250712275282,12.000259186211863,38.161989294023485,13.46097555533418,23.11199951171875,,,,,,,
CC (NG),10682_CPP,0,2.0,98.15504055225061,9.21589732570363,73.18800354003906,158.96459813384257,7.750362775360229,13.236311908086996,50.392057223567996,73.18800354003906,,,,,,,
CC (NG),10682_CPP,1,1.0,-0.4145739171288105,28.607812674979694,24.075000762939453,178.33748659311166,4.043355965249139,32.33990707271117,9.169696736792297,24.075000762939453,,,,,,,
CC (NG),10725_F801,0,2.0,63.13571281428395,7.4721306469708795,143.48699951171875,181.7771060992359,6.42500050813861,7.953282674401942,117.57975920376042,143.48699951171875,,,,,,,
CC (NG),10725_F801,1,1.0,257.9335140772849,7.114329573839887,97.26300048828125,305.48518341429207,6.604249315577328,11.370759455562556,95.9274899784829,97.26300048828125,,,,,,,
CC (NG),10725_F802,0,1.0,187.24991003334682,8.777259599537711,80.89199829101562,277.79581487192655,7.596341026562046,9.601665929732114,74.40029345566514,80.89199829101562,,,,,,,
CC (NG),10725_F802,1,1.0,168.2828806585024,8.35870827721482,101.11499786376953,189.23413169589503,8.125764386682942,9.808861280034483,97.5848274255577,101.11499786376953,,,,,,,
CC (NG),10725_F802,2,1.0,22.217791686368276,8.354217138747137,123.26399993896484,29.287155383876105,8.28138592567479,10.89202596299306,117.7275540650792,123.26399993896484,243.70045080858415,5.831131503140011,8.346562649014933,10.89202596299306,87.97873563576266,118.0347436632683,123.26399993896484
CC (NG),10725_F802,3,2.0,-95.71273265997647,8.913988373012863,291.78900146484375,239.633239260207,7.251834114217077,9.639560410697664,213.30244449250742,291.78900146484375,391.5806258405705,6.361836180162941,7.276843162855185,9.60272536232702,171.93686975730898,212.68520460910824,291.78900146484375
CC (NG),10725_F802,4,1.0,675.1172584391996,5.530957988689793,188.7480010986328,732.6503320978063,5.1931795882894525,48.49445157474019,187.67303439338306,188.7480010986328,,,,,,,
CC (NG),10726_G321,0,2.0,191.49819158113067,9.61941281505954,91.48500061035156,233.83784713855928,8.696587949500811,10.009603407678965,55.42188644477399,91.48500061035156,,,,,,,
CC (NG),10726_G321,1,1.0,363.19275326851727,9.746406445063176,192.60000610351562,418.61746106476164,9.169862783452215,9.750620767025813,96.57148703954152,192.60000610351562,,,,,,,
CC (NG),10726_G321,2,1.0,6.4706813679082,14.291723168579098,82.81800079345703,,,,,,,,,,,,
CC (NG),10741_5,0,2.0,288.08316254847455,8.849154444021261,103.04100036621094,1582.398910883632,-6.283308311507034,9.319711418660193,85.78464959833148,103.04100036621094,857.1615832264457,2.9647568201540766,8.996570581033662,11.536794888088144,96.53530961607848,98.36715662894308,103.04100036621094
CC (NG),10741_5,1,2.0,533.4397674362115,4.6404433706212505,137.70899963378906,546.670511857042,4.528947991596842,5.952275968801382,126.23413470130632,137.70899963378906,,,,,,,
CC (NG),10741_5,2,1.0,791.9172343791164,6.090078738288319,252.30599975585938,1168.7373230561018,4.486044450959683,7.084080281266836,229.0801024387871,252.30599975585938,,,,,,,
CC (NG),10741_5,3,1.0,1663.8409872585519,2.5849522720423086,198.3780059814453,1683.5362143229918,2.473885708110743,4.68784343211657,191.01205706682933,198.3780059814453,,,,,,,
CC (NG),10745_1,0,2.0,950.0896172854522,8.46653220059302,400.6080017089844,1101.068433397535,8.004258292776017,8.902378280460152,348.0700694760942,400.6080017089844,,,,,,,
CC (NG),10745_1,1,2.0,749.0363759601404,8.334596824502068,300.45599365234375,986.5934037978312,7.313056131600495,8.580630076092387,238.80522738978536,300.45599365234375,,,,,,,
CC (NG),10745_1,2,1.0,1414.093092463014,8.46034567905321,598.9860229492188,1602.7326794733513,8.127484249860183,8.54957328684609,554.470198599172,598.9860229492188,,,,,,,
CC (NG),10745_1,3,1.0,394.704422081064,10.964806542741714,437.2019958496094,,,,,,,,,,,,
CC (NG),10745_1,4,1.0,1612.455357297388,9.474085623854858,1000.5570068359375,3598.062046752131,7.404722607414938,12.334195611364187,908.8335845038009,1000.5570068359375,,,,,,,
CC (NG),10745_1,5,3.0,728.7291961563827,10.349194977672267,900.405029296875,923.1317627685215,10.099696693739945,46.47963132011309,891.7853338959559,900.405029296875,2515.7014276662735,7.890566079183616,10.429623606304236,46.47963132011309,737.6094432230232,892.1725970000398,900.405029296875
CC (NG),10745_1,6,1.0,1559.857930856181,10.039873792269548,813.7349853515625,5293.9239803144,5.391230233440473,13.6007410655317,800.4850215105214,813.7349853515625,,,,,,,
CC (NG),10745_1,7,2.0,1020.7078620695122,9.845240935832793,800.2529907226562,1910.397985476151,8.43560004189385,10.240709126487328,658.0057354494611,800.2529907226562,1991.3106502853261,8.300482666518418,10.118834950023393,67.56118485222294,649.2717829005529,797.1695160314042,800.2529907226562
CC (NG),10745_1,8,2.0,1273.4133995049522,8.242264246228537,498.8340148925781,1526.4013849468556,7.565351623338597,8.491078425038358,395.7143072505986,498.8340148925781,1569.5342467738185,7.442105398709673,8.44001512778742,9.132056752937368,387.2424932433199,484.86444923620394,498.8340148925781
CC (NG),10745_1,9,1.0,3791.8068401636815,7.477244132844271,1099.7459716796875,6330.9425644076455,5.020393545580954,14.61465634903728,981.6688639841109,1099.7459716796875,,,,,,,
