group_type,unit_id,cluster,min_aicc,1_b,1_m1,1_x1,2_b,2_m1,2_m2,2_x1,2_x2,3_b,3_m1,3_m2,3_m3,3_x1,3_x2,2_x3
Boiler (Coal),1001_1,0,3.0,53.66527295898767,10.508387000056368,506.8999938964844,848.4949433461928,7.873827528212474,11.642819746414279,345.63848137079583,506.8999938964844,817.884742943397,7.989102169122463,11.4355927017918,13.287855038045356,347.07621558406373,467.9177719035356,506.8999938964844
Boiler (Coal),1001_2,0,3.0,243.39488927457433,9.556946377324257,521.7000122070312,721.6257654969222,8.118349505570306,10.983463010124673,401.9325451784382,521.7000122070312,721.5988611120721,8.118436222065172,10.900664932011233,25.97932527687892,400.5091728321358,509.976293487234,521.7000122070312
Boiler (Coal),10075_1,0,1.0,60.211591594368194,12.230384062569398,69.375,,,,,,,,,,,,
Boiler (Coal),10075_2,0,2.0,4.799086010799865,11.841858598819519,72.1500015258789,141.75659763112435,7.223545756437572,11.822489902030556,29.545093322889688,72.1500015258789,141.75659763112435,7.223545756437572,11.779762256727198,15.614522813495848,29.453864193330777,63.32942501491831,72.1500015258789
Boiler (Coal),1008_2,0,1.0,152.73132391724837,8.921410105613209,142.4499969482422,229.4743809825171,8.294110876180229,9.376633391164706,102.17302991327546,142.4499969482422,,,,,,,
Boiler (Coal),1008_4,0,2.0,128.7899581547581,9.410839288057693,143.375,295.72400737796664,6.927961802661616,9.710248678731674,72.97736696816821,143.375,,,,,,,
Boiler (Coal),1010_6,0,2.0,-17.9206135997488,8.316179594090496,315.42498779296875,196.8688749368116,7.124156354021015,8.866169124255135,216.94202134259422,315.42498779296875,318.0773859208704,6.291075676650263,7.178696125242796,8.866169124255135,148.14936364456165,217.8546727334561,315.42498779296875
Boiler (Coal),1012_2,0,1.0,70.44901702878914,12.020676490520138,92.5,427.6917165655678,7.968373981501167,12.19233699517023,86.77570046235222,92.5,,,,,,,
Boiler (Coal),1012_3,0,2.0,159.4821356135802,11.747691574721507,266.3999938964844,253.84056543357667,11.051394539663455,11.976429598492471,162.67185622459712,266.3999938964844,,,,,,,
Boiler (Coal),10143_AAB01,0,2.0,203.73239254479938,10.049268099072778,117.4749984741211,446.80972608015014,7.809341747797781,18.45649432525935,113.08253556985817,117.4749984741211,921.4468895193165,3.5239008360934854,8.869515283067253,18.45649432525935,109.99415501222195,113.76449500741609,117.4749984741211
Boiler (Coal),10343_SG-101,0,1.0,30.460641562862925,15.90714999816433,40.70000076293945,275.2634495825825,9.555117348075605,15.918702083917369,38.53099821410056,40.70000076293945,,,,,,,
Boiler (Coal),1040_1,0,1.0,23.217040968223916,11.280599298641288,33.29999923706055,23.511668369797444,11.261703650417525,12.972994670416833,31.075390959061156,33.29999923706055,,,,,,,
Boiler (Coal),1040_2,0,1.0,34.988685260061764,11.379892994130158,61.04999923706055,275.1869154792247,2.885637595678112,11.34394006874191,28.17205969440964,61.04999923706055,,,,,,,
Boiler (Coal),1047_4,0,3.0,219.45613433873655,10.187222499553654,247.89999389648438,338.31905847231815,9.272555269803577,11.2274103821609,173.76755645636283,247.89999389648438,631.7338713347098,6.776523369272378,9.661498499989067,11.317890642246107,121.78917555786363,182.22252642353834,247.89999389648438
Boiler (Coal),1048_2,0,1.0,133.49493038433,10.648580322661026,113.7750015258789,300.6741906858992,8.938898006578867,11.143422228181997,87.17383462234613,113.7750015258789,,,,,,,
Boiler (Coal),10603_031,0,3.0,-0.4122862687455276,15.144351913389258,56.42499923706055,70.70898912119942,12.126635114269206,15.788678250276696,27.81760210367801,56.42499923706055,87.6786833591506,11.27936906911493,14.940376984420215,17.806330154877084,23.743189135171296,48.268878898432995,56.42499923706055
Boiler (Coal),10678_001,0,2.0,259.6109018614733,10.652408936112836,169.27499389648438,282.737349570025,10.424311384619756,11.064997750655799,133.5270401032632,169.27499389648438,2133.4458271844483,-11.758259011547038,10.428793321460407,11.064997750655799,83.43913651477816,133.58747492355934,169.27499389648438
Boiler (Coal),1081_9,0,1.0,71.18332086475118,10.492168217445226,110.07499694824219,267.11826719933856,8.392327525967781,11.933983941596047,70.51971051864355,110.07499694824219,,,,,,,
Boiler (Coal),1082_3,0,1.0,665.4406446711437,9.259997382298334,702.0750122070312,2872.0341667467555,5.9340212348287755,10.469775839886074,599.37832806911,702.0750122070312,,,,,,,
Boiler (Coal),1082_4,0,3.0,358.9862007482208,8.933933791139335,807.5250244140625,533.5466701451525,8.439088306954105,9.053288949250817,432.552835120615,807.5250244140625,959.6387320908345,6.91633080448041,8.738307295658624,9.066749171409159,293.55481271444285,509.56165941561414,807.5250244140625
Boiler (Coal),10849_PB1,0,1.0,91.52335333873211,12.757069916406929,36.07500076293945,,,,,,,,,,,,
Boiler (Coal),10849_PB2,0,2.0,-152.27576822930305,15.685650013407887,52.724998474121094,46.92520507754335,10.803558640633108,20.228462507451027,43.293977309914325,52.724998474121094,,,,,,,
Boiler (Coal),108_SGU1,0,2.0,332.09925370534154,9.431976677839387,357.04998779296875,340.54001414344805,9.37216600683476,10.287343463740223,319.11430869396077,357.04998779296875,,,,,,,
Boiler (Coal),1091_2,0,2.0,61.811389511409935,10.440964092080412,237.72500610351562,85.08373610407432,10.266084319566367,11.161797778705317,200.96171567142054,237.72500610351562,85.25296193859988,10.26447970456047,10.852176821838112,12.591831845899062,194.91638206813818,227.13538702891242,237.72500610351562
Boiler (Coal),1091_3,0,3.0,123.83897356594248,10.65121456933067,510.6000061035156,177.44809999602927,10.445583090479564,25.607733331272875,499.31115037541497,510.6000061035156,170.90451078567793,10.471411465612267,15.52200455469009,58.963383914685934,495.19271951626,504.7634765292452,510.6000061035156
Boiler (Coal),10_1,0,2.0,127.90291705181322,8.88789505228367,254.375,150.28817494771508,8.59631995708684,63.96038202229627,249.06444378155214,254.375,,,,,,,
Boiler (Coal),10_2,0,2.0,101.50310240260568,9.408386544663715,251.60000610351562,144.6145109795466,8.861542131940736,12.82533487014773,208.63650861126425,251.60000610351562,170.73260511962133,8.512307014373265,10.879812426989217,40.729801720511205,168.04630256614726,249.68569778681433,251.60000610351562
Boiler (Coal),1104_1,0,2.0,-66.59233542911433,11.606113340312186,213.6750030517578,419.33799906574075,6.265536197727267,11.804609429235523,94.29998376258968,213.6750030517578,404.5685428367018,6.4361016673814,11.758300888074986,17.69759220975864,93.75542846281282,98.63042531375027,213.6750030517578
Boiler (Coal),1122_7,0,2.0,-8.465778878561204,14.13246506219767,32.375,38.05171946618263,10.91995279969732,15.205469672754583,18.08112103151742,32.375,38.91251510694107,10.85769878060124,11.866159296783167,15.205469672754583,15.509986290707076,18.778289246675453,32.375
Boiler (Coal),1122_8,0,2.0,8.573329265614126,13.228989349107685,62.900001525878906,165.11090164874446,7.201596241444571,13.34581635772676,26.252828482697247,62.900001525878906,,,,,,,
Boiler (Coal),1131_7,0,2.0,37.20365295689424,11.529582238182414,33.29999923706055,40.622268375732006,11.011482523045123,13.04286493669884,21.998772715454628,33.29999923706055,40.439661912537325,11.043351195674349,12.840119847011719,15.26591707907248,21.40859216680277,23.726735686740792,33.29999923706055
Boiler (Coal),113_1,0,1.0,135.49948835954055,11.683363515867029,112.8499984741211,206.32628393270534,10.975650372113476,11.775309701264218,95.4009140548242,112.8499984741211,,,,,,,
Boiler (Coal),113_3,0,2.0,110.11576027770006,11.708902070142662,265.4750061035156,331.0318252650277,9.813626534534851,12.221636845686778,134.6216455603083,265.4750061035156,284.3600618198015,10.407171588999919,11.688734366617043,12.936375373116265,149.0388153453149,204.5653632068311,265.4750061035156
Boiler (Coal),113_4,0,2.0,343.8405031866726,10.444688624412766,380.17498779296875,529.8367334435172,9.159881207725851,10.811326186125678,185.0172481930174,380.17498779296875,,,,,,,
Boiler (Coal),1167_8,0,1.0,-46.382626606827486,14.009195024045477,70.30000305175781,,,,,,,,,,,,
Boiler (Coal),1167_9,0,3.0,94.30330280901316,11.148006593813331,160.02499389648438,104.62676673988115,10.97830686402916,12.213128525729063,129.26946789193568,160.02499389648438,104.50839871309148,10.980440452070631,12.212517672513783,15.394568783489216,129.35541336069952,150.1640204722418,160.02499389648438
Boiler (Coal),1241_2,0,1.0,1068.0085931636208,8.354847833402623,655.8250122070312,1315.300091757488,7.939096932784777,9.922277558007098,445.2879787496443,655.8250122070312,,,,,,,
Boiler (Coal),1250_4,0,3.0,33.02837563958277,10.522865643779433,114.69999694824219,61.616663746120885,10.046405938842693,18.601475911207846,104.20209449215659,114.69999694824219,116.31182184080457,8.946541821691689,10.194074523313583,18.601475911207846,54.56519060995115,104.4412497481423,114.69999694824219
Boiler (Coal),1250_5,0,3.0,107.41711608983299,10.53461996657136,375.54998779296875,484.7783236833207,8.076247357262057,10.712087386417162,165.4421726903331,375.54998779296875,482.5326036088975,8.092200527819706,10.599007631256079,14.1561140646989,162.3632853227735,353.33503149303067,375.54998779296875
Boiler (Coal),1252_9,0,2.0,52.730111637394316,11.204002436536756,71.2249984741211,97.7695658495317,10.197521216367631,11.848651884679114,51.80759120729787,71.2249984741211,,,,,,,
Boiler (Coal),126_4,0,2.0,78.72170437120836,10.489301517989201,153.5500030517578,87.97137717901991,10.324029529450597,10.841424773551259,90.22274925192912,153.5500030517578,87.97137717901991,10.324029529450597,10.838400414497556,16.135068705563988,90.12435500255454,152.35594335402405,153.5500030517578
Boiler (Coal),127_1,0,3.0,-24.70210730753118,11.203280753945398,649.3499755859375,137.44194392419442,10.639337625261728,11.658252356504216,409.55392022635306,649.3499755859375,2030.5446990126327,1.3554312740592782,11.226854971749477,51.340696739920276,212.4936444299541,640.3675364366792,649.3499755859375
Boiler (Coal),1295_1,0,1.0,232.54942032678946,7.120708084554758,38.849998474121094,475.73068661810424,-1.0906515919249287,7.199551535383853,29.650928416707618,38.849998474121094,,,,,,,
Boiler (Coal),1295_2,0,1.0,-204.26247153821862,13.497367665536489,79.55000305175781,-181.7731721804051,13.159971961707312,14.18000607827457,62.407715740681994,79.55000305175781,,,,,,,
Boiler (Coal),130_1,0,3.0,-89.98081107292207,11.050391795845163,582.75,405.21323166322026,9.450761010935041,11.69286180066138,365.2010180564479,582.75,406.0499941928364,9.447849116554698,11.437280134600464,11.769876197840672,359.9205090935596,434.16798315215675,582.75
Boiler (Coal),130_2,0,3.0,197.18569782618295,10.499337505266606,551.2999877929688,311.2446192284756,10.16483770931069,12.016288639839145,470.7331449774001,551.2999877929688,584.406945214102,9.228726288208836,10.294339823507652,12.008449163126684,302.8944599834182,477.0741896218494,551.2999877929688
Boiler (Coal),130_3,0,3.0,89.86750162426254,10.607176361981656,600.3250122070312,244.13486928580605,10.180111889048344,11.47719708691556,488.8161422866708,600.3250122070312,291.44718649527175,10.032589835045702,10.446356207594716,11.498784667119995,396.8997186272029,503.09505111224104,600.3250122070312
Boiler (Coal),130_4,0,3.0,568.442079413801,10.052051032648341,611.4249877929688,642.1726278029024,9.857339246906195,10.832665741675575,537.928601414697,611.4249877929688,636.7064569947407,9.872672994079972,10.620027355402566,16.040421780814874,538.4920846677447,598.6261929455021,611.4249877929688
Boiler (Coal),1353_BSU1,0,2.0,226.69022883526705,9.26433256595005,292.29998779296875,253.73014105233517,8.999034182027978,9.836827604922203,209.1017992494471,292.29998779296875,,,,,,,
Boiler (Coal),1355_1,0,2.0,25.405252544800828,11.023138457901032,106.375,35.521467496101906,10.783835512073603,12.589607297501763,80.23890294070874,106.375,,,,,,,
Boiler (Coal),1355_2,0,2.0,33.99480808276189,11.008176351518063,168.35000610351562,42.72234170182287,10.8930790198721,12.35560014497475,129.85341068212344,168.35000610351562,47.77673070318297,10.823183941740131,10.975769456429594,12.116981564752509,102.27117954419016,125.62849695071519,168.35000610351562
Boiler (Coal),1355_3,0,2.0,101.92612210728969,10.997233478556813,422.7250061035156,129.7152151755778,10.844126268657412,12.49657996995154,331.51799478432406,422.7250061035156,,,,,,,
Boiler (Coal),1356_1,0,2.0,406.2901515838273,9.485006776758603,494.875,475.6156694390403,9.268322191596953,9.812544540908512,396.79516150139995,494.875,,,,,,,
Boiler (Coal),1356_2,0,2.0,82.33405643832766,9.12097636588072,493.0249938964844,100.96913899885516,9.059856178211417,9.974184941102672,450.5585235393437,493.0249938964844,606.1498240931585,6.557530469388059,9.064969552237445,10.082887679870314,202.13911234742417,453.93102403425775,493.0249938964844
Boiler (Coal),1356_3,0,3.0,81.72492680510852,9.121054861530677,495.79998779296875,377.14660687439857,7.837825493649362,9.195183744160625,241.1090121211534,495.79998779296875,384.555918909902,7.801954025043832,9.15865751185638,13.501003764518444,237.8643866470533,487.23040325976245,495.79998779296875
Boiler (Coal),1356_4,0,3.0,127.04341157024429,9.732077828757978,506.8999938964844,352.85895828077923,8.803895322560576,9.838577029283455,265.12461299827805,506.8999938964844,442.46121800444206,8.382588712220237,9.233133186176463,9.853722879338717,227.41324034905665,286.010782447057,506.8999938964844
Boiler (Coal),1364_1,0,3.0,49.810679763686046,9.441979728037225,316.3500061035156,119.81212861317348,8.980369326454282,9.552745682204193,171.14035266720887,316.3500061035156,119.79394238292718,8.980512276390247,9.494986168167882,9.671625314291445,165.89002585534863,250.82990533271897,316.3500061035156
Boiler (Coal),1364_2,0,3.0,46.566046713320034,9.436072376188344,316.3500061035156,93.0111036541048,9.140296285111186,9.554361808638863,183.74448509269482,316.3500061035156,98.53151818976202,9.09875881935984,9.533512756960905,12.18179359550936,176.2782103801883,302.1922927232774,316.3500061035156
Boiler (Coal),1364_3,0,2.0,154.94133581258305,9.884859536842407,401.45001220703125,350.96314610220253,8.987840602114447,10.195907381409324,250.75180577671597,401.45001220703125,340.20648320006995,9.04375776675192,10.184749388577192,13.40717040426296,252.95712617880207,272.49650614186595,401.45001220703125
Boiler (Coal),1364_4,0,1.0,292.65627298704084,9.488001043020985,493.0249938964844,4036.2324603439133,1.6065519788009008,9.54203624304472,473.9036536891348,493.0249938964844,,,,,,,
Boiler (Coal),136_1,0,1.0,1456.726652096649,7.157033942303091,638.25,5007.265065892655,1.3458907520738586,7.852452214085596,589.8254280535508,638.25,,,,,,,
Boiler (Coal),136_2,0,1.0,1366.7423154744529,7.344945346454046,642.875,1726.7315506774137,6.736362495125242,8.034259455308137,483.2728228156444,642.875,,,,,,,
Boiler (Coal),1374_1,0,1.0,84.65991403459246,10.25207218904085,146.14999389648438,358.05319898350984,8.131246778983906,16.393499940577993,103.20067341533384,146.14999389648438,,,,,,,
Boiler (Coal),1374_2,0,1.0,79.16792337766935,10.202263955581621,272.875,2322.154683170698,1.5738179963304888,10.241284138787401,259.379402336963,272.875,,,,,,,
Boiler (Coal),1378_1,0,2.0,549.2538038477866,10.14372700393738,566.0999755859375,5864.690637155621,-4.08093695640963,10.25815336377465,374.62989835809026,566.0999755859375,4199.991143387037,3.042053998003048,11.863243269007766,18.03780840808983,499.343942433367,501.76122638616516,566.0999755859375
Boiler (Coal),1378_2,0,1.0,1125.0215910668185,9.517151678698708,585.5250244140625,2731.8016136870233,6.355036553351401,12.85943086299451,468.9412654182987,585.5250244140625,,,,,,,
Boiler (Coal),1378_3,0,1.0,1721.9196790027802,8.474756212026492,937.9500122070312,29451.552589393847,-22.74839100154423,10.039964521272653,879.3785421019587,937.9500122070312,,,,,,,
Boiler (Coal),1379_1,0,1.0,103.59195997833369,10.840800578255532,130.4250030517578,271.11534975548756,9.341974228196744,11.28250955794141,104.69062576589616,130.4250030517578,,,,,,,
